"Name"	"parents_dir"	"dir_size"	"dirs"	"files"
"./homework8"	""	3733	"[{'file_pack': 'file_pack', 'test_dir2_l1': 'test_dir2_l1', 'test_dir_l1': 'test_dir_l1'}]"	"[{'main.py': 191, 'README.md': 1105, 'task2.py': 2437}]"
"file_pack"	"./homework8\"	5610	"[{'__pycache__': '__pycache__'}]"	"[{'csv2pickles.py': 799, 'file_manager.py': 2437, 'json_to_csv.py': 542, 'json_to_pickle.py': 761, 'README.md': 207, 'to_json.py': 864, '__init__.py': 0}]"
"__pycache__"	"./homework8\file_pack\"	3925	"[{}]"	"[{'file_manager.cpython-312.pyc': 3768, '__init__.cpython-312.pyc': 157}]"
"test_dir2_l1"	"./homework8\"	0	"[{}]"	"[{}]"
"test_dir_l1"	"./homework8\"	0	"[{'test_dir_l2': 'test_dir_l2'}]"	"[{'test.txt': 0}]"
"test_dir_l2"	"./homework8\test_dir_l1\"	9	"[{}]"	"[{'test2.txt': 9}]"
